formulas,prototypes
RhI2,P-14
RuBr2,P-14
RuCl2,P-14
RuI2,P-14
ScBr2,P-14
ScCl2,P-14
ScI2,P-14
SnBr2,P-14
SnCl2,P-14
SnI2,P-14
SrBr2,P-14
SrCl2,P-14
SrI2,P-14
TaBr2,P-14
TaCl2,P-14
TaI2,P-14
TiBr2,P-14
TiCl2,P-14
TiI2,P-14
TlBr2,P-14
TlCl2,P-14
TlI2,P-14
VBr2,P-14
VCl2,P-14
VI2,P-14
WBr2,P-14
WCl2,P-14
WI2,P-14
YBr2,P-14
YCl2,P-14
YI2,P-14
ZnBr2,P-14
ZnCl2,P-14
ZnI2,P-14
ZrBr2,P-14
ZrCl2,P-14
ZrI2,P-14
S2Sb,P-14
SbTe2,P-14
BiSe2,P-14
BiS2,P-14
BiTe2,P-14
SbSe2,P-14
CrBrCl,P-19
CrBrI,P-19
CrClI,P-19
CrSeTe,P-19
CrSSe,P-19
CrSTe,P-19
HfBrCl,P-19
HfBrI,P-19
HfClI,P-19
HfSeTe,P-19
HfSSe,P-19
HfSTe,P-19
MoBrCl,P-19
MoClI,P-19
MoSeTe,P-19
MoSSe,P-19
MoSTe,P-19
NbBrCl,P-19
NbBrI,P-19
NbClI,P-19
NbSeTe,P-19
NbSeTe,P-19
NbSSe,P-19
NbSTe,P-19
NbSTe,P-19
TaBrCl,P-19
TaBrI,P-19
TaClI,P-19
TaSeTe,P-19
TaSSe,P-19
TaSTe,P-19
TaSTe,P-19
TiBrCl,P-19
TiBrI,P-19
TiClI,P-19
TiSeTe,P-19
TiSSe,P-19
TiSTe,P-19
VBrI,P-19
VSeTe,P-19
VSSe,P-19
VSTe,P-19
WBrCl,P-19
WBrI,P-19
WClI,P-19
WSeTe,P-19
WSSe,P-19
WSTe,P-19
ZrBrCl,P-19
ZrBrI,P-19
ZrClI,P-19
ZrSeTe,P-19
ZrSSe,P-19
ZrSTe,P-19
AsClTe,P-19
BiBrS,P-19
BiClS,P-19
BiClSe,P-19
BiIS,P-19
BiClTe,P-19
BrSSb,P-19
ClSbSe,P-19
BrSbTe,P-19
ClSSb,P-19
ISbSe,P-19
ClSbTe,P-19
BiISe,P-19
BiBrTe,P-19
BiITe,P-19
BrSbSe,P-19
ISSb,P-19
ISbTe,P-19
AsBrS,P-19
AsClS,P-19
AsBrSe,P-19
AsClSe,P-19
AsISe,P-19
AsIS,P-19
AsBrTe,P-19
AsITe,P-19
BiBrSe,P-19
Ge2S2,P-18
Ge2Se2,P-18
Ge2Te2,P-18
Pb2S2,P-17
Pb2Se2,P-17
Pb2Te2,P-17
S2Si2,P-18
Se2Si2,P-18
Si2Te2,P-18
Sn2S2,P-18
Sn2Se2,P-18
Sn2Te2,P-17
Al2S2,P-9
Al2Se2,P-9
Al2Te2,P-9
Bi2S2,P-9
Bi2S2,P-9
Bi2Se2,P-9
Bi2Se2,P-9
Bi2Te2,P-9
Bi2Te2,P-9
Cd2S2,P-9
Cd2Se2,P-9
Cd2Te2,P-9
Ga2S2,P-9
Ga2Se2,P-9
Ga2Te2,P-9
Ge2S2,P-9
Ge2Se2,P-9
Ge2Te2,P-9
Ge2Te2,P-9
In2S2,P-9
In2Se2,P-9
In2Te2,P-9
Pb2S2,P-9
Pb2Se2,P-9
Pb2Te2,P-9
S2Sb2,P-9
S2Si2,P-9
S2Si2,P-9
Sb2Se2,P-9
Sb2Se2,P-9
Sb2Te2,P-9
Sb2Te2,P-9
Se2Si2,P-9
Si2Te2,P-9
Sn2S2,P-9
Sn2Se2,P-9
Sn2Te2,P-9
Zn2S2,P-9
Zn2Se2,P-9
Zn2Te2,P-9
Ag2S4,P-16
Ag2Se4,P-16
Ag2Te4,P-16
Al2S4,P-11
Al2Se4,P-11
Al2Te4,P-12
Au2S4,P-16
Au2Se4,P-16
Au2Te4,P-16
Bi2S4,P-11
Bi2Te4,P-11
Bi2Te4,P-11
Cd2S4,P-16
Cd2Se4,P-11
Cd2Te4,P-11
Co2S4,P-16
Co2Se4,P-16
Co2Se4,P-16
Co2Te4,P-16
Co2Te4,P-16
Cr2S4,P-15
Cr2S4,P-15
Cr2Se4,P-15
Cr2Se4,P-15
Cr2Te4,P-15
Cr2Te4,P-15
Cu2S4,P-16
Cu2Se4,P-16
Cu2Te4,P-16
Fe2S4,P-15
Fe2S4,P-15
Fe2Se4,P-15
Fe2Te4,P-15
Ga2S4,P-16
Ga2Se4,P-15
Ga2Te4,P-16
Ge2S4,P-11
Ge2Se4,P-11
Ge2Te4,P-15
In2Se4,P-15
In2Te4,P-15
Ir2S4,P-16
Ir2Se4,P-16
Ir2Te4,P-16
Mn2S4,P-15
Mn2S4,P-15
Mn2Se4,P-15
Mn2Se4,P-15
Mn2Te4,P-15
Mn2Te4,P-15
Mo2S4,P-15
Mo2S4,P-15
Mo2Se4,P-15
Mo2Se4,P-15
Mo2Te4,P-15
Mo2Te4,P-15
Nb2Te4,P-15
Ni2S4,P-16
Ni2Se4,P-16
Ni2Te4,P-16
Os2S4,P-15
Os2Se4,P-15
Os2Te4,P-15
Pb2S4,P-11
Pb2Se4,P-11
Pb2Te4,P-11
Pd2S4,P-16
Pd2Se4,P-16
Pd2Te4,P-16
Pt2S4,P-16
Pt2Se4,P-16
Pt2Te4,P-16
Rh2S4,P-16
Rh2Se4,P-16
Rh2Te4,P-16
Ru2S4,P-15
Ru2Se4,P-15
Ru2Te4,P-15
